param p:= 
1 1 1 1 9
1 1 2 1 8
1 1 3 1 7
1 2 1 1 12
1 2 2 1 10
1 2 3 1 8
1 3 1 1 15
1 3 2 1 13
1 3 3 1 10
1 4 1 1 10
1 4 2 1 8
1 4 3 1 5
1 5 1 1 15
1 5 2 1 13
1 5 3 1 10
1 1 1 2 9
1 1 2 2 8
1 1 3 2 7
1 2 1 2 12
1 2 2 2 10
1 2 3 2 8
1 3 1 2 15
1 3 2 2 13
1 3 3 2 10
1 4 1 2 10
1 4 2 2 8
1 4 3 2 5
1 5 1 2 15
1 5 2 2 13
1 5 3 2 10
2 1 1 1 10
2 1 2 1 9
2 1 3 1 8
2 2 1 1 13
2 2 2 1 11
2 2 3 1 9
2 3 1 1 17
2 3 2 1 15
2 3 3 1 13
2 4 1 1 11
2 4 2 1 9
2 4 3 1 5
2 5 1 1 16
2 5 2 1 14
2 5 3 1 12
2 1 1 2 10
2 1 2 2 9
2 1 3 2 8
2 2 1 2 13
2 2 2 2 11
2 2 3 2 9
2 3 1 2 17
2 3 2 2 15
2 3 3 2 13
2 4 1 2 11
2 4 2 2 9
2 4 3 2 5
2 5 1 2 16
2 5 2 2 14
2 5 3 2 12
3 1 1 1 8
3 1 2 1 7
3 1 3 1 6
3 2 1 1 14
3 2 2 1 12
3 2 3 1 10
3 3 1 1 17
3 3 2 1 13
3 3 3 1 9
3 4 1 1 12
3 4 2 1 10
3 4 3 1 8
3 5 1 1 14
3 5 2 1 12
3 5 3 1 9
3 1 1 2 8
3 1 2 2 7
3 1 3 2 6
3 2 1 2 14
3 2 2 2 12
3 2 3 2 10
3 3 1 2 17
3 3 2 2 13
3 3 3 2 9
3 4 1 2 12
3 4 2 2 10
3 4 3 2 8
3 5 1 2 14
3 5 2 2 12
3 5 3 2 9
 ; 
param pen:= 
1 1 1 2
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 1 2 2
1 2 2 0
1 3 2 0
1 4 2 0
1 5 2 0
2 1 1 0
2 2 1 0
2 3 1 2
2 4 1 0
2 5 1 0
2 1 2 0
2 2 2 0
2 3 2 2
2 4 2 0
2 5 2 0
3 1 1 0
3 2 1 3
3 3 1 0
3 4 1 0
3 5 1 0
3 1 2 0
3 2 2 3
3 3 2 0
3 4 2 0
3 5 2 0
 ; 
param d:= 
1 1 500
2 1 1000
3 1 800
4 1 1200
5 1 900
1 2 700
2 2 1000
3 2 600
4 2 1500
5 2 700
 ; 
param LT:= 
1 1 0
1 2 2001
1 3 4001
2 1 0
2 2 2501
2 3 5001
3 1 0
3 2 2001
3 3 3501
 ; 
param UT:= 
1 1 2000
1 2 4000
1 3 50000
2 1 2500
2 2 5000
2 3 50000
3 1 2000
3 2 3500
3 3 50000
 ; 
param LB:= 
1 1 0
2 1 500
3 1 0
1 2 0
2 2 500
3 2 0
 ; 
param UB:= 
1 1 2000
2 1 2000
3 1 2500
1 2 2000
2 2 2000
3 2 2500
 ; 
